catalog_normal_noMito.fasta:cluster,chr1:6480-6778
catalog_normal_noMito.fasta:cluster,chr1:11056-11367
catalog_normal_noMito.fasta:cluster,chr1:19013-19356
catalog_normal_noMito.fasta:cluster,chr1:27630-27987
catalog_normal_noMito.fasta:cluster,chr1:31912-32254
catalog_normal_noMito.fasta:cluster,chr1:39113-39440
catalog_normal_noMito.fasta:cluster,chr1:43086-43438
catalog_normal_noMito.fasta:cluster,chr1:57000-57351
catalog_normal_noMito.fasta:cluster,chr1:67891-68203
catalog_normal_noMito.fasta:cluster,chr1:74552-74869
catalog_normal_noMito.fasta:cluster,chr1:76285-76619
catalog_normal_noMito.fasta:cluster,chr1:87530-87866
catalog_normal_noMito.fasta:cluster,chr1:92190-92526
catalog_normal_noMito.fasta:cluster,chr1:103411-103746
catalog_normal_noMito.fasta:cluster,chr1:107720-108039
catalog_normal_noMito.fasta:cluster,chr1:116414-116728
catalog_normal_noMito.fasta:cluster,chr1:118398-118744
catalog_normal_noMito.fasta:cluster,chr1:128883-129214
catalog_normal_noMito.fasta:cluster,chr1:132687-133016
catalog_normal_noMito.fasta:cluster,chr1:139480-139835
catalog_normal_noMito.fasta:cluster,chr1:147143-147474
catalog_normal_noMito.fasta:cluster,chr1:152245-152552
catalog_normal_noMito.fasta:cluster,chr1:158280-158639
catalog_normal_noMito.fasta:cluster,chr1:169004-169329
catalog_normal_noMito.fasta:cluster,chr1:177922-178275
catalog_normal_noMito.fasta:cluster,chr1:184056-184374
catalog_normal_noMito.fasta:cluster,chr1:190674-191003
catalog_normal_noMito.fasta:cluster,chr1:198541-198880
catalog_normal_noMito.fasta:cluster,chr1:202612-202920
catalog_normal_noMito.fasta:cluster,chr1:209359-209698
catalog_normal_noMito.fasta:cluster,chr1:213242-213561
catalog_normal_noMito.fasta:cluster,chr1:216055-216336
catalog_normal_noMito.fasta:cluster,chr1:224132-224463
catalog_normal_noMito.fasta:cluster,chr1:233150-233476
catalog_normal_noMito.fasta:cluster,chr1:245085-245432
catalog_normal_noMito.fasta:cluster,chr1:255448-255795
catalog_normal_noMito.fasta:cluster,chr1:264043-264354
catalog_normal_noMito.fasta:cluster,chr1:269102-269443
catalog_normal_noMito.fasta:cluster,chr1:281048-281383
catalog_normal_noMito.fasta:cluster,chr1:286351-286675
catalog_normal_noMito.fasta:cluster,chr1:292230-292588
catalog_normal_noMito.fasta:cluster,chr1:294663-294987
catalog_normal_noMito.fasta:cluster,chr1:307007-307350
